100 98
1 2 100
2 3 99
3 4 98
4 5 97
5 6 96
6 7 95
7 8 94
8 9 93
9 10 92
10 11 91
11 12 90
12 13 89
13 14 88
14 15 87
15 16 86
16 17 85
17 18 84
18 19 83
19 20 82
20 21 81
21 22 80
22 23 79
23 24 78
24 25 77
25 26 76
26 27 75
27 28 74
28 29 73
29 30 72
30 31 71
31 32 70
32 33 69
33 34 68
34 35 67
35 36 66
36 37 65
37 38 64
38 39 63
39 40 62
40 41 61
41 42 60
42 43 59
43 44 58
44 45 57
45 46 56
46 47 55
47 48 54
48 49 53
49 50 52
50 51 51
51 52 50
52 53 49
53 54 48
54 55 47
55 56 46
56 57 45
57 58 44
58 59 43
59 60 42
60 61 41
61 62 40
62 63 39
63 64 38
64 65 37
65 66 36
66 67 35
67 68 34
68 69 33
69 70 32
70 71 31
71 72 30
72 73 29
73 74 28
74 75 27
75 76 26
76 77 25
77 78 24
78 79 23
79 80 22
80 81 21
81 82 20
82 83 19
83 84 18
84 85 17
85 86 16
86 87 15
87 88 14
88 89 13
89 90 12
90 91 11
91 92 10
92 93 9
93 94 8
94 95 7
95 96 6
96 97 5
97 98 4
98 99 1
